t              pw-with-periodic.fdtd_inbox_Ex_3_3_3.dat       incid
   0.19874598529423526E-008   0.907848597E+000   0.929002106E+000
   0.20028665184690375E-008   0.856627047E+000   0.882366061E+000
   0.20182731839957224E-008   0.797365904E+000   0.826770365E+000
   0.20336798495224073E-008   0.732162356E+000   0.764231920E+000
   0.20490865150490922E-008   0.663189352E+000   0.696898639E+000
   0.20644931805757771E-008   0.592576802E+000   0.626928627E+000
   0.20798998461024620E-008   0.522305012E+000   0.556379020E+000
   0.20953065116291469E-008   0.454122812E+000   0.487110585E+000
   0.21107131771558318E-008   0.389482230E+000   0.420715362E+000
   0.21261198426825167E-008   0.329507351E+000   0.358470559E+000
   0.21415265082092017E-008   0.274980009E+000   0.301316321E+000
   0.21569331737358866E-008   0.226356596E+000   0.249859467E+000
   0.21723398392625715E-008   0.183796942E+000   0.204396456E+000
   0.21877465047892564E-008   0.147208691E+000   0.164950952E+000
   0.22031531703159413E-008   0.116299093E+000   0.131322876E+000
   0.22185598358426262E-008   0.906286240E-001   0.103140764E+000
   0.22339665013693111E-008   0.696630180E-001   0.799142346E-001
   0.22493731668959960E-008   0.528186932E-001   0.610832348E-001
   0.22647798324226809E-008   0.395027921E-001   0.460600592E-001
   0.22801864979493658E-008   0.291423481E-001   0.342634097E-001
   0.22955931634760507E-008   0.212073456E-001   0.251443740E-001
   0.23109998290027356E-008   0.152236316E-001   0.182035360E-001
   0.23264064945294205E-008   0.107803633E-001   0.130009223E-001
   0.23418131600561054E-008   0.753099192E-002   0.916002598E-002
   0.23572198255827903E-008   0.519038225E-002   0.636684289E-002
   0.23726264911094752E-008   0.352933235E-002   0.436570961E-002
   0.23880331566361601E-008   0.236770441E-002   0.295317895E-002
   0.24034398221628450E-008   0.156696909E-002   0.197074143E-002
   0.24188464876895299E-008   0.102284132E-002   0.129739626E-002
   0.24342531532162148E-008   0.658384466E-003   0.842596986E-003
   0.24496598187428997E-008   0.417820149E-003   0.539848988E-003
   0.24650664842695846E-008   0.261358829E-003   0.341214560E-003
   0.24804731497962695E-008   0.161033953E-003   0.212758634E-003
   0.24958798153229544E-008   0.975321745E-004   0.130873610E-003
   0.25112864808496393E-008   0.578180479E-004   0.794181178E-004
   0.25266931463763243E-008   0.333248609E-004   0.475435481E-004
   0.25420998119030092E-008   0.185395729E-004   0.280781824E-004
   0.25575064774296941E-008   0.991565958E-005   0.163586992E-004
   0.25729131429563790E-008   0.511003873E-005   0.940227801E-005
   0.25883198084830639E-008   0.253296867E-005   0.533117645E-005
   0.26037264740097488E-008   0.113921556E-005   0.298205100E-005
   0.26191331395364337E-008   0.331198521E-006   0.164555252E-005
   0.26345398050631186E-008  -0.143071418E-006   0.895806636E-006
   0.26499464705898035E-008  -0.343226418E-006   0.481081315E-006
   0.26653531361164884E-008  -0.299956866E-006   0.254875147E-006
   0.26807598016431733E-008  -0.111508626E-006   0.133211756E-006
   0.26961664671698582E-008   0.682673829E-007   0.686845496E-007
   0.27115731326965431E-008   0.117152950E-006   0.349365799E-007
   0.27269797982232280E-008   0.229756125E-007   0.175310539E-007
   0.27423864637499129E-008  -0.116827884E-006   0.867833982E-008
   0.27577931292765978E-008  -0.177141175E-006   0.423809210E-008
   0.27731997948032827E-008  -0.104535452E-006   0.204178785E-008
   0.27886064603299676E-008   0.435162697E-007   0.970401537E-009
   0.28040131258566525E-008   0.148400872E-006   0.454990434E-009
   0.28194197913833374E-008   0.127165634E-006   0.210450671E-009
   0.28348264569100223E-008  -0.160276026E-008   0.960292124E-010
   0.28502331224367072E-008  -0.134286694E-006   0.432276610E-010
   0.28656397879633921E-008  -0.166032052E-006   0.191967275E-010
   0.28810464534900770E-008  -0.737617825E-007   0.840993074E-011
   0.28964531190167619E-008   0.674068019E-007   0.363465443E-011
   0.29118597845434468E-008   0.145814752E-006   0.154967684E-011
   0.29272664500701318E-008   0.102334717E-006   0.651806246E-012
   0.29426731155968167E-008  -0.242895943E-007   0.270459111E-012
   0.29580797811235016E-008  -0.130647365E-006   0.110711380E-012
   0.29734864466501865E-008  -0.132187267E-006   0.447076458E-013
   0.29888931121768714E-008  -0.296995086E-007   0.178105448E-013
   0.30042997777035563E-008   0.934566415E-007   0.699971765E-014
   0.30197064432302412E-008   0.139461278E-006   0.271382728E-014
   0.30351131087569261E-008   0.739142791E-007   0.103798234E-014
   0.30505197742836110E-008  -0.484450169E-007   0.391657023E-015
   0.30659264398102959E-008  -0.129270092E-006   0.145787314E-015
   0.30813331053369808E-008  -0.105572141E-006   0.535352450E-016
   0.30967397708636657E-008   0.125864119E-008   0.193940452E-016
   0.31121464363903506E-008   0.104478012E-006   0.693097530E-017
   0.31275531019170355E-008   0.122322646E-006   0.244358128E-017
   0.31429597674437204E-008   0.426794031E-007   0.849900472E-018
   0.31583664329704053E-008  -0.690074629E-007   0.291612470E-018
   0.31737730984970902E-008  -0.123472361E-006   0.987076628E-019
   0.31891797640237751E-008  -0.789341144E-007   0.329613412E-019
   0.32045864295504600E-008   0.269483706E-007   0.108581285E-019
   0.32199930950771449E-008   0.108831173E-006   0.352867858E-020
   0.32353997606038298E-008   0.102447068E-006   0.113130247E-020
   0.32508064261305147E-008   0.150025130E-007   0.357800548E-021
   0.32662130916571996E-008  -0.822666664E-007   0.111637588E-021
   0.32816197571838845E-008  -0.112077728E-006   0.343629009E-022
   0.32970264227105694E-008  -0.524622692E-007   0.104343192E-022
   0.33124330882372544E-008   0.471812740E-007   0.312568996E-023
   0.33278397537639393E-008   0.106955362E-006   0.923714902E-024
   0.33432464192906242E-008   0.804924483E-007   0.269292560E-024
   0.33586530848173091E-008  -0.913717457E-008   0.774494700E-025
   0.33740597503439940E-008  -0.893952290E-007   0.219747174E-025
   0.33894664158706789E-008  -0.969410081E-007   0.615065989E-026
   0.34048730813973638E-008  -0.275785439E-007   0.169835378E-026
   0.34202797469240487E-008   0.618655065E-007   0.462642750E-027
   0.34356864124507336E-008   0.100047068E-006   0.124324363E-027
   0.34510930779774185E-008   0.579732671E-007   0.329590711E-028
   0.34664997435041034E-008  -0.290656814E-007   0.861996139E-029
   0.34819064090307883E-008  -0.910215618E-007   0.222396422E-029
   0.34973130745574732E-008  -0.794258668E-007   0.566055402E-030
   0.35127197400841581E-008  -0.525808019E-008   0.142135323E-030
   0.35281264056108430E-008   0.712021375E-007   0.352076104E-031
   0.35435330711375279E-008   0.893287933E-007   0.860359597E-032
   0.35589397366642128E-008   0.361837209E-007   0.207412948E-032
   0.35743464021908977E-008  -0.443968844E-007   0.493267414E-033
   0.35897530677175826E-008  -0.879117081E-007   0.115727924E-033
   0.36051597332442675E-008  -0.607931838E-007   0.267859375E-034
   0.36205663987709524E-008   0.137558303E-007   0.611597069E-035
   0.36359730642976373E-008   0.755259748E-007   0.138153392E-035
   0.36513797298243222E-008   0.758981145E-007   0.308822595E-036
   0.36667863953510071E-008   0.160741251E-007   0.681093383E-037
   0.36821930608776920E-008  -0.550898207E-007   0.145555001E-037
   0.36975997264043770E-008  -0.809460659E-007   0.000000000E+000
   0.37130063919310619E-008  -0.421181632E-007   0.000000000E+000
   0.37284130574577468E-008   0.290593043E-007   0.000000000E+000
   0.37438197229844317E-008   0.754153291E-007   0.000000000E+000
   0.37592263885111166E-008   0.608354398E-007   0.000000000E+000
   0.37746330540378015E-008  -0.164435932E-008   0.000000000E+000
   0.37900397195644864E-008  -0.613629041E-007   0.000000000E+000
   0.38054463850911713E-008  -0.710823116E-007   0.000000000E+000
   0.38208530506178562E-008  -0.243234126E-007   0.000000000E+000
   0.38362597161445411E-008   0.404962037E-007   0.000000000E+000
   0.38516663816712260E-008   0.715895681E-007   0.000000000E+000
   0.38670730471979109E-008   0.451490614E-007   0.000000000E+000
   0.38824797127245958E-008  -0.164770988E-007   0.000000000E+000
   0.38978863782512807E-008  -0.636137685E-007   0.000000000E+000
   0.39132930437779656E-008  -0.592752727E-007   0.000000000E+000
   0.39286997093046505E-008  -0.815384382E-008   0.000000000E+000
   0.39441063748313354E-008   0.481138720E-007   0.000000000E+000
   0.39595130403580203E-008   0.648301395E-007   0.000000000E+000
   0.39749197058847052E-008   0.297178566E-007   0.000000000E+000
   0.39903263714113901E-008  -0.281449779E-007   0.000000000E+000
   0.40057330369380750E-008  -0.623678176E-007   0.000000000E+000
   0.40211397024647599E-008  -0.464178029E-007   0.000000000E+000
   0.40365463679914448E-008   0.584673998E-008   0.000000000E+000
   0.40519530335181297E-008   0.521391925E-007   0.000000000E+000
   0.40673596990448146E-008   0.559350184E-007   0.000000000E+000
   0.40827663645714996E-008   0.152638577E-007   0.000000000E+000
   0.40981730300981845E-008  -0.365724411E-007   0.000000000E+000
   0.41135796956248694E-008  -0.582399018E-007   0.000000000E+000
   0.41289863611515543E-008  -0.333106769E-007   0.000000000E+000
   0.41443930266782392E-008   0.173312351E-007   0.000000000E+000
   0.41597996922049241E-008   0.529431397E-007   0.000000000E+000
   0.41752063577316090E-008   0.456819933E-007   0.000000000E+000
   0.41906130232582939E-008   0.234538078E-008   0.000000000E+000
   0.42060196887849788E-008  -0.418580335E-007   0.000000000E+000
   0.42214263543116637E-008  -0.518917531E-007   0.000000000E+000
   0.42368330198383486E-008  -0.206410995E-007   0.000000000E+000
   0.42522396853650335E-008   0.261319890E-007   0.000000000E+000
   0.42676463508917184E-008   0.509979756E-007   0.000000000E+000
   0.42830530164184033E-008   0.347938069E-007   0.000000000E+000
   0.42984596819450882E-008  -0.864276473E-008   0.000000000E+000
   0.43138663474717731E-008  -0.442395631E-007   0.000000000E+000
   0.43292730129984580E-008  -0.439900809E-007   0.000000000E+000
   0.43446796785251429E-008  -0.896626418E-008   0.000000000E+000
   0.43600863440518278E-008   0.322398712E-007   0.000000000E+000
   0.43754930095785127E-008   0.468364050E-007   0.000000000E+000
   0.43908996751051976E-008   0.239098323E-007   0.000000000E+000
   0.44063063406318825E-008  -0.174635293E-007   0.000000000E+000
   0.44217130061585674E-008  -0.440601724E-007   0.000000000E+000
   0.44371196716852523E-008  -0.351721816E-007   0.000000000E+000
   0.44525263372119372E-008   0.129439925E-008   0.000000000E+000
   0.44679330027386222E-008   0.357802001E-007   0.000000000E+000
   0.44833396682653071E-008   0.410158840E-007   0.000000000E+000
   0.44987463337919920E-008   0.135674760E-007   0.000000000E+000
   0.45141529993186769E-008  -0.240247999E-007   0.000000000E+000
   0.45295596648453618E-008  -0.417351096E-007   0.000000000E+000
   0.45449663303720467E-008  -0.260193112E-007   0.000000000E+000
   0.45603729958987316E-008   0.985815873E-008   0.000000000E+000
   0.45757796614254165E-008   0.369854973E-007   0.000000000E+000
   0.45911863269521014E-008   0.340874209E-007   0.000000000E+000
   0.46065929924787863E-008   0.419196766E-008   0.000000000E+000
   0.46219996580054712E-008  -0.283609296E-007   0.000000000E+000
   0.46374063235321561E-008  -0.377199427E-007   0.000000000E+000
   0.46528129890588410E-008  -0.170371202E-007   0.000000000E+000
   0.46682196545855259E-008   0.165710574E-007   0.000000000E+000
   0.46836263201122108E-008   0.361668810E-007   0.000000000E+000
   0.46990329856388957E-008   0.265694489E-007   0.000000000E+000
   0.47144396511655806E-008  -0.390666344E-008   0.000000000E+000
   0.47298463166922655E-008  -0.306107957E-007   0.000000000E+000
   0.47452529822189504E-008  -0.324814842E-007   0.000000000E+000
   0.47606596477456353E-008  -0.864258354E-008   0.000000000E+000
   0.47760663132723202E-008   0.213950315E-007   0.000000000E+000
   0.47914729787990051E-008   0.336861135E-007   0.000000000E+000
   0.48068796443256900E-008   0.189272278E-007   0.000000000E+000
   0.48222863098523749E-008  -0.105307194E-007   0.000000000E+000
   0.48376929753790598E-008  -0.309943324E-007   0.000000000E+000
   0.48530996409057447E-008  -0.264728985E-007   0.000000000E+000
   0.48685063064324297E-008  -0.115744214E-008   0.000000000E+000
   0.48839129719591146E-008   0.243914151E-007   0.000000000E+000
   0.48993196374857995E-008   0.299296588E-007   0.000000000E+000
   0.49147263030124844E-008   0.115582885E-007   0.000000000E+000
   0.49301329685391693E-008  -0.155867870E-007   0.000000000E+000
   0.49455396340658542E-008  -0.297888150E-007   0.000000000E+000
   0.49609462995925391E-008  -0.201134611E-007   0.000000000E+000
   0.49763529651192240E-008   0.519263033E-008   0.000000000E+000
   0.49917596306459089E-008   0.257021942E-007   0.000000000E+000
   0.50071662961725938E-008   0.252857344E-007   0.000000000E+000
   0.50225729616992787E-008   0.478354956E-008   0.000000000E+000
   0.50379796272259636E-008  -0.190738092E-007   0.000000000E+000
   0.50533862927526485E-008  -0.273060934E-007   0.000000000E+000
   0.50687929582793334E-008  -0.137732741E-007   0.000000000E+000
   0.50841996238060183E-008   0.102738689E-007   0.000000000E+000
   0.50996062893327032E-008   0.255301291E-007   0.000000000E+000
   0.51150129548593881E-008   0.201247996E-007   0.000000000E+000
   0.51304196203860730E-008  -0.115637988E-008   0.000000000E+000
   0.51458262859127579E-008  -0.210684661E-007   0.000000000E+000
   0.51612329514394428E-008  -0.238716531E-007   0.000000000E+000
   0.51766396169661277E-008  -0.776271847E-008   0.000000000E+000
   0.51920462824928126E-008   0.140364929E-007   0.000000000E+000
   0.52074529480194975E-008   0.241191174E-007   0.000000000E+000
   0.52228596135461824E-008   0.147840646E-007   0.000000000E+000
   0.52382662790728673E-008  -0.610036732E-008   0.000000000E+000
   0.52536729445995523E-008  -0.217090417E-007   0.000000000E+000
   0.52690796101262372E-008  -0.198063539E-007   0.000000000E+000
   0.52844862756529221E-008  -0.232661890E-008   0.000000000E+000
   0.52998929411796070E-008   0.165037957E-007   0.000000000E+000
   0.53152996067062919E-008   0.217355804E-007   0.000000000E+000
   0.53307062722329768E-008   0.955610258E-008   0.000000000E+000
   0.53461129377596617E-008  -0.996208893E-008   0.000000000E+000
   0.53615196032863466E-008  -0.211788151E-007   0.000000000E+000
   0.53769262688130315E-008  -0.154113167E-007   0.000000000E+000
   0.53923329343397164E-008   0.235747066E-008   0.000000000E+000
   0.54077395998664013E-008   0.177594206E-007   0.000000000E+000
   0.54231462653930862E-008   0.186517326E-007   0.000000000E+000
   0.54385529309197711E-008   0.468146943E-008   0.000000000E+000
   0.54539595964464560E-008  -0.127224276E-007   0.000000000E+000
   0.54693662619731409E-008  -0.196898498E-007   0.000000000E+000
   0.54847729274998258E-008  -0.109561640E-007   0.000000000E+000
   0.55001795930265107E-008   0.617734841E-008   0.000000000E+000
   0.55155862585531956E-008   0.179336332E-007   0.000000000E+000
   0.55309929240798805E-008   0.151311994E-007   0.000000000E+000
   0.55463995896065654E-008   0.345071527E-009   0.000000000E+000
   0.55618062551332503E-008  -0.144197463E-007   0.000000000E+000
   0.55772129206599352E-008  -0.174679382E-007   0.000000000E+000
   0.55926195861866201E-008  -0.667068356E-008   0.000000000E+000
   0.56080262517133050E-008   0.908135789E-008   0.000000000E+000
   0.56234329172399899E-008   0.171894818E-007   0.000000000E+000
   0.56388395827666749E-008   0.114173417E-007   0.000000000E+000
   0.56542462482933598E-008  -0.332415606E-008   0.000000000E+000
   0.56696529138200447E-008  -0.151388804E-007   0.000000000E+000
   0.56850595793467296E-008  -0.147392809E-007   0.000000000E+000
   0.57004662448734145E-008  -0.273981371E-008   0.000000000E+000
   0.57158729104000994E-008   0.110713092E-007   0.000000000E+000
   0.57312795759267843E-008   0.157095279E-007   0.000000000E+000
   0.57466862414534692E-008   0.772445041E-008   0.000000000E+000
   0.57620929069801541E-008  -0.625071639E-008   0.000000000E+000
   0.57774995725068390E-008  -0.149995518E-007   0.000000000E+000
   0.57929062380335239E-008  -0.117192105E-007   0.000000000E+000
   0.58083129035602088E-008   0.698410219E-009   0.000000000E+000
   0.58237195690868937E-008   0.121939241E-007   0.000000000E+000
   0.58391262346135786E-008   0.136837439E-007   0.000000000E+000
   0.58545329001402635E-008   0.423176605E-008   0.000000000E+000
   0.58699395656669484E-008  -0.840781933E-008   0.000000000E+000
   0.58853462311936333E-008  -0.141449172E-007   0.000000000E+000
   0.59007528967203182E-008  -0.860328964E-008   0.000000000E+000
   0.59161595622470031E-008   0.355221097E-008   0.000000000E+000
   0.59315662277736880E-008   0.125313839E-007   0.000000000E+000
   0.59469728933003729E-008   0.112989218E-007   0.000000000E+000
   0.59623795588270578E-008   0.108017950E-008   0.000000000E+000
   0.59777862243537427E-008  -0.981096449E-008   0.000000000E+000
   0.59931928898804276E-008  -0.127307782E-007   0.000000000E+000
   0.60085995554071125E-008  -0.556078117E-008   0.000000000E+000
   0.60240062209337975E-008   0.577327253E-008   0.000000000E+000
   0.60394128864604824E-008   0.121916379E-007   0.000000000E+000
   0.60548195519871673E-008   0.872995543E-008   0.000000000E+000
   0.60702262175138522E-008  -0.162864833E-008   0.000000000E+000
   0.60856328830405371E-008  -0.105104663E-007   0.000000000E+000
   0.61010395485672220E-008  -0.109158567E-007   0.000000000E+000
   0.61164462140939069E-008  -0.273044076E-008   0.000000000E+000
   0.61318528796205918E-008   0.735223349E-008   0.000000000E+000
   0.61472595451472767E-008   0.112989804E-007   0.000000000E+000
   0.61626662106739616E-008   0.613307671E-008   0.000000000E+000
   0.61780728762006465E-008  -0.383108345E-008   0.000000000E+000
   0.61934795417273314E-008  -0.105834372E-007   0.000000000E+000
   0.62088862072540163E-008  -0.885349927E-008   0.000000000E+000
   0.62242928727807012E-008  -0.218515872E-009   0.000000000E+000
   0.62396995383073861E-008   0.831295832E-008   0.000000000E+000
   0.62551062038340710E-008   0.998530947E-008   0.000000000E+000
   0.62705128693607559E-008   0.364109720E-008   0.000000000E+000
   0.62859195348874408E-008  -0.549863088E-008   0.000000000E+000
   0.63013262004141257E-008  -0.101257278E-007   0.000000000E+000
   0.63167328659408106E-008  -0.668494193E-008   0.000000000E+000
   0.63321395314674955E-008   0.190135330E-008   0.000000000E+000
   0.63475461969941804E-008   0.870609007E-008   0.000000000E+000
   0.63629528625208653E-008   0.838240410E-008   0.000000000E+000
   0.63783595280475502E-008   0.136056855E-008   0.000000000E+000
   0.63937661935742351E-008  -0.663375221E-008   0.000000000E+000
   0.64091728591009200E-008  -0.924420096E-008   0.000000000E+000
   0.64245795246276050E-008  -0.453424898E-008   0.000000000E+000
   0.64399861901542899E-008   0.358660257E-008   0.000000000E+000
   0.64553928556809748E-008   0.860229044E-008   0.000000000E+000
   0.64707995212076597E-008   0.661541666E-008   0.000000000E+000
   0.64862061867343446E-008  -0.629334806E-009   0.000000000E+000
   0.65016128522610295E-008  -0.726484872E-008   0.000000000E+000
   0.65170195177877144E-008  -0.804971467E-008   0.000000000E+000
   0.65324261833143993E-008  -0.250490961E-008   0.000000000E+000
   0.65478328488410842E-008   0.482290785E-008   0.000000000E+000
   0.65632395143677691E-008   0.808557665E-008   0.000000000E+000
   0.65786461798944540E-008   0.479775109E-008   0.000000000E+000
   0.65940528454211389E-008  -0.227637154E-008   0.000000000E+000
   0.66094595109478238E-008  -0.744073114E-008   0.000000000E+000
   0.66248661764745087E-008  -0.665100197E-008   0.000000000E+000
   0.66402728420011936E-008  -0.677987000E-009   0.000000000E+000
   0.66556795075278785E-008   0.562041302E-008   0.000000000E+000
   0.66710861730545634E-008   0.724703453E-008   0.000000000E+000
   0.66864928385812483E-008   0.302731085E-008   0.000000000E+000
   0.67018995041079332E-008  -0.355354057E-008   0.000000000E+000
   0.67173061696346181E-008  -0.722496107E-008   0.000000000E+000
   0.67327128351613030E-008  -0.514962784E-008   0.000000000E+000
   0.67481195006879879E-008   0.888332519E-009   0.000000000E+000
   0.67635261662146728E-008   0.600934680E-008   0.000000000E+000
   0.67789328317413577E-008   0.617920870E-008   0.000000000E+000
   0.67943394972680426E-008   0.138412704E-008   0.000000000E+000
   0.68097461627947276E-008  -0.445641435E-008   0.000000000E+000
   0.68251528283214125E-008  -0.669037714E-008   0.000000000E+000
