t              pw-in-box.fdtd_before_Ex_3_3_1.dat       incid
   0.43908996751051976E-008  -0.333917560E-008   0.000000000E+000
   0.44063063406318825E-008  -0.299285152E-008   0.000000000E+000
   0.44217130061585674E-008   0.287547985E-009   0.000000000E+000
   0.44371196716852523E-008   0.361991459E-008   0.000000000E+000
   0.44525263372119372E-008   0.444073978E-008   0.000000000E+000
   0.44679330027386222E-008   0.225733299E-008   0.000000000E+000
   0.44833396682653071E-008  -0.116001120E-008   0.000000000E+000
   0.44987463337919920E-008  -0.303691605E-008   0.000000000E+000
   0.45141529993186769E-008  -0.173630321E-008   0.000000000E+000
   0.45295596648453618E-008   0.168742453E-008   0.000000000E+000
   0.45449663303720467E-008   0.420700452E-008   0.000000000E+000
   0.45603729958987316E-008   0.357309893E-008   0.000000000E+000
   0.45757796614254165E-008   0.462779814E-009   0.000000000E+000
   0.45911863269521014E-008  -0.224263208E-008   0.000000000E+000
   0.46065929924787863E-008  -0.225047914E-008   0.000000000E+000
   0.46219996580054712E-008   0.184068538E-009   0.000000000E+000
   0.46374063235321561E-008   0.282684254E-008   0.000000000E+000
   0.46528129890588410E-008   0.356440344E-008   0.000000000E+000
   0.46682196545855259E-008   0.198510852E-008   0.000000000E+000
   0.46836263201122108E-008  -0.548970425E-009   0.000000000E+000
   0.46990329856388957E-008  -0.201221662E-008   0.000000000E+000
   0.47144396511655806E-008  -0.121460575E-008   0.000000000E+000
   0.47298463166922655E-008   0.121102151E-008   0.000000000E+000
   0.47452529822189504E-008   0.319614624E-008   0.000000000E+000
   0.47606596477456353E-008   0.298559932E-008   0.000000000E+000
   0.47760663132723202E-008   0.785752574E-009   0.000000000E+000
   0.47914729787990051E-008  -0.139195766E-008   0.000000000E+000
   0.48068796443256900E-008  -0.163936009E-008   0.000000000E+000
   0.48222863098523749E-008   0.116642029E-009   0.000000000E+000
   0.48376929753790598E-008   0.222358976E-008   0.000000000E+000
   0.48530996409057447E-008   0.291919267E-008   0.000000000E+000
   0.48685063064324297E-008   0.177774528E-008   0.000000000E+000
   0.48839129719591146E-008  -0.149877222E-009   0.000000000E+000
   0.48993196374857995E-008  -0.130102473E-008   0.000000000E+000
   0.49147263030124844E-008  -0.788840271E-009   0.000000000E+000
   0.49301329685391693E-008   0.952307566E-009   0.000000000E+000
   0.49455396340658542E-008   0.247470444E-008   0.000000000E+000
   0.49609462995925391E-008   0.247167997E-008   0.000000000E+000
   0.49763529651192240E-008   0.938987998E-009   0.000000000E+000
   0.49917596306459089E-008  -0.758913821E-009   0.000000000E+000
   0.50071662961725938E-008  -0.112094056E-008   0.000000000E+000
   0.50225729616992787E-008   0.107761688E-009   0.000000000E+000
   0.50379796272259636E-008   0.176632742E-008   0.000000000E+000
   0.50533862927526485E-008   0.241860398E-008   0.000000000E+000
   0.50687929582793334E-008   0.161081315E-008   0.000000000E+000
   0.50841996238060183E-008   0.124489086E-009   0.000000000E+000
   0.50996062893327032E-008  -0.798210387E-009   0.000000000E+000
   0.51150129548593881E-008  -0.458019567E-009   0.000000000E+000
   0.51304196203860730E-008   0.819763646E-009   0.000000000E+000
   0.51458262859127579E-008   0.197524863E-008   0.000000000E+000
   0.51612329514394428E-008   0.204904871E-008   0.000000000E+000
   0.51766396169661277E-008   0.979124004E-009   0.000000000E+000
   0.51920462824928126E-008  -0.307281312E-009   0.000000000E+000
   0.52074529480194975E-008  -0.685196233E-009   0.000000000E+000
   0.52228596135461824E-008   0.152470037E-009   0.000000000E+000
   0.52382662790728673E-008   0.142606116E-008   0.000000000E+000
   0.52536729445995523E-008   0.201407335E-008   0.000000000E+000
   0.52690796101262372E-008   0.146508428E-008   0.000000000E+000
   0.52844862756529221E-008   0.324447469E-009   0.000000000E+000
   0.52998929411796070E-008  -0.425468660E-009   0.000000000E+000
   0.53152996067062919E-008  -0.205830561E-009   0.000000000E+000
   0.53307062722329768E-008   0.746082862E-009   0.000000000E+000
   0.53461129377596617E-008   0.162735603E-008   0.000000000E+000
   0.53615196032863466E-008   0.172137227E-008   0.000000000E+000
   0.53769262688130315E-008   0.964846980E-009   0.000000000E+000
   0.53923329343397164E-008   0.507094366E-011   0.000000000E+000
   0.54077395998664013E-008  -0.335022510E-009   0.000000000E+000
   0.54231462653930862E-008   0.227960706E-009   0.000000000E+000
   0.54385529309197711E-008   0.118218457E-008   0.000000000E+000
   0.54539595964464560E-008   0.168723668E-008   0.000000000E+000
   0.54693662619731409E-008   0.133230360E-008   0.000000000E+000
   0.54847729274998258E-008   0.471652384E-009   0.000000000E+000
   0.55001795930265107E-008  -0.138653866E-009   0.000000000E+000
   0.55155862585531956E-008  -0.114888654E-010   0.000000000E+000
   0.55309929240798805E-008   0.698612113E-009   0.000000000E+000
   0.55463995896065654E-008   0.137829437E-008   0.000000000E+000
   0.55618062551332503E-008   0.147585977E-008   0.000000000E+000
   0.55772129206599352E-008   0.933586541E-009   0.000000000E+000
   0.55926195861866201E-008   0.218218610E-009   0.000000000E+000
   0.56080262517133050E-008  -0.668144429E-010   0.000000000E+000
   0.56234329172399899E-008   0.311918796E-009   0.000000000E+000
   0.56388395827666749E-008   0.101570885E-008   0.000000000E+000
   0.56542462482933598E-008   0.143060841E-008   0.000000000E+000
   0.56696529138200447E-008   0.121111710E-008   0.000000000E+000
   0.56850595793467296E-008   0.574630621E-009   0.000000000E+000
   0.57004662448734145E-008   0.842682035E-010   0.000000000E+000
   0.57158729104000994E-008   0.143223183E-009   0.000000000E+000
   0.57312795759267843E-008   0.667240485E-009   0.000000000E+000
