t              pw-in-box.fdtd_before_Ex_3_3_1.dat       incid
2.69616648216505906e-09   -3.85196618284538994e-04   3.36375219719899353e-09
2.71157314777743078e-09   -5.92263218077346363e-03   1.61355954288931332e-09
2.72697981338980250e-09   -8.94616052399563669e-03   7.63565726950044755e-10
2.74238647900217421e-09   -7.95529691206331262e-03   3.56467020988085876e-10
2.75779314461454593e-09   -3.30279269725184624e-03   1.64169598576288100e-10
2.77319981022691764e-09   2.90470069188626147e-03   7.45875125992866114e-11
2.78860647583928936e-09   7.78013819811989357e-03   3.34311910021973185e-11
2.80401314145166108e-09   9.04993720989404581e-03   1.47821500467908284e-11
2.81941980706403279e-09   6.17340706979988083e-03   6.44796883471148305e-12
2.83482647267640492e-09   6.06312882539107242e-04   2.77473473429844362e-12
2.85023313828877664e-09   -4.94375050577835432e-03   1.17793033512720616e-12
2.86563980390114836e-09   -7.89304068944264754e-03   4.93306505865856140e-13
2.88104646951352007e-09   -7.06711239170219972e-03   2.03811282788824000e-13
2.89645313512589179e-09   -3.21543040144522257e-03   8.30689529148631512e-14
2.91185980073826351e-09   1.50654630349600013e-03   3.34001074830874639e-14
2.92726646635063522e-09   4.77577239437465984e-03   1.32486645461146796e-14
2.94267313196300694e-09   5.34448532864540728e-03   5.18435814925500374e-15
2.95807979757537866e-09   3.57864474247736753e-03   2.00131750288521577e-15
2.97348646318775079e-09   1.01033180913403034e-03   7.62172219901037116e-16
2.98889312880012250e-09   -7.74223273755782464e-04   2.86344196857111266e-16
3.00429979441249422e-09   -1.17536355284429380e-03   1.06125861974266575e-16
3.01970646002486593e-09   -8.58110301363139991e-04   3.88035318584043099e-17
3.03511312563723765e-09   -1.07497519478356052e-03   1.39964825112359934e-17
3.05051979124960937e-09   -2.49721343587856227e-03   4.98039256013336910e-18
3.06592645686198108e-09   -4.40713527981981788e-03   1.74834255041713566e-18
3.08133312247435280e-09   -4.93574058964026639e-03   6.05461532260715253e-19
3.09673978808672493e-09   -2.35542721827239126e-03   2.06844048062969369e-19
3.11214645369909665e-09   3.34446750913978573e-03   6.97138276006815867e-20
