t              pw-in-box.fdtd_inbox_Ex_3_3_3.dat       incid
4.91472633034659326e-09   -1.01556347811870964e+01   7.43039224281129091e-111
4.93013299595896498e-09   -1.01858028470194704e+01   5.35173974550785250e-112
4.94553966157133669e-09   -1.02149459378930718e+01   3.80283864276837376e-113
4.96094632718370841e-09   -1.02242232063641865e+01   2.66549876302416935e-114
4.97635299279608013e-09   -1.02066888907893070e+01   1.84320674142224119e-115
4.99175965840845184e-09   -1.01723550507810288e+01   1.25747709941896097e-116
5.00716632402082356e-09   -1.01425550594660656e+01   8.46218182168093744e-118
5.02257298963319528e-09   -1.01367243669690072e+01   5.61810996856802250e-119
5.03797965524556699e-09   -1.01597661496906237e+01   3.67984396223217018e-120
5.05338632085793871e-09   -1.01981896604703977e+01   2.37751541762941098e-121
5.06879298647031043e-09   -1.02279387219712596e+01   1.51545673635866243e-122
5.08419965208268214e-09   -1.02294160345698018e+01   9.53006483005589257e-124
5.09960631769505386e-09   -1.02003436731037009e+01   5.91155117503982100e-125
5.11501298330742557e-09   -1.01580500904070679e+01   3.61771183247401125e-126
5.13041964891979812e-09   -1.01292049225815308e+01   2.18423538834513636e-127
5.14582631453216983e-09   -1.01330395498358836e+01   1.30081844793060436e-128
5.16123298014454155e-09   -1.01685859441658568e+01   7.64295881245992551e-130
5.17663964575691327e-09   -1.02143653227945013e+01   4.43037161451858530e-131
5.19204631136928498e-09   -1.02413080745452536e+01   2.53319745723438923e-132
5.20745297698165670e-09   -1.02311726805539962e+01   1.42898012727266431e-133
5.22285964259402842e-09   -1.01888186647639376e+01   7.95276235874447863e-135
5.23826630820640013e-09   -1.01401218912124751e+01   4.36574657234849568e-136
5.25367297381877185e-09   -1.01162210991747639e+01   2.36443827022813821e-137
5.26907963943114357e-09   -1.01336498121577705e+01   1.26337706104290170e-138
5.28448630504351528e-09   -1.01830031448800149e+01   6.65863366568047562e-140
5.29989297065588700e-09   -1.02338480794009232e+01   3.46231751041683867e-141
5.31529963626825872e-09   -1.02534365607746771e+01   1.77617233675684509e-142
5.33070630188063043e-09   -1.02277497855538400e+01   8.98770573799565673e-144
5.34611296749300215e-09   -1.01713803571813930e+01   4.48686419937037086e-145
5.36151963310537386e-09   -1.01193702234639922e+01   2.20990878833485991e-146
5.37692629871774558e-09   -1.01054786960309659e+01   1.07361776710899836e-147
5.39233296433011812e-09   -1.01403241931415913e+01   5.14583764053898403e-149
5.40773962994248984e-09   -1.02035185552281948e+01   2.43332842195499990e-150
5.42314629555486156e-09   -1.02554892268397158e+01   1.13497855866705043e-151
5.43855296116723327e-09   -1.02622081778633909e+01   5.22283558660029324e-153
5.45395962677960499e-09   -1.02174079315157211e+01   2.37117846068429651e-154
5.46936629239197671e-09   -1.01478196049926996e+01   1.06184896153575390e-155
5.48477295800434842e-09   -1.00973166932795699e+01   4.69130588323184482e-157
5.50017962361672014e-09   -1.00993064772924015e+01   2.04486615234839793e-158
5.51558628922909186e-09   -1.01547087400036364e+01   8.79174247506958904e-160
5.53099295484146357e-09   -1.02299908459397120e+01   3.72922226143050307e-161
5.54639962045383529e-09   -1.02773792335430336e+01   1.56063974878031782e-162
5.56180628606620701e-09   -1.02651217218432986e+01   6.44205298296960564e-164
5.57721295167857872e-09   -1.01986657102424125e+01   2.62349297939930928e-165
5.59261961729095044e-09   -1.01186847572161618e+01   1.05408971123944040e-166
5.60802628290332215e-09   -1.00762628593487999e+01   4.17744507615067113e-168
5.62343294851569387e-09   -1.01003250724469513e+01   1.63334777649262024e-169
5.63883961412806559e-09   -1.01780427819843293e+01   6.30071183088951492e-171
5.65424627974043813e-09   -1.02614127497112371e+01   2.39736591923269819e-172
5.66965294535280985e-09   -1.02968332059868111e+01   8.99942052441157999e-174
5.68505961096518156e-09   -1.02595029637280479e+01   0.00000000000000000e+00
5.70046627657755328e-09   -1.01706077101084151e+01   0.00000000000000000e+00
5.71587294218992500e-09   -1.00854866907402041e+01   0.00000000000000000e+00
5.73127960780229671e-09   -1.00592537762545966e+01   0.00000000000000000e+00
5.74668627341466843e-09   -1.01111839991667765e+01   0.00000000000000000e+00
5.76209293902704015e-09   -1.02108337693801161e+01   0.00000000000000000e+00
5.77749960463941186e-09   -1.02957349738501165e+01   0.00000000000000000e+00
5.79290627025178358e-09   -1.03104849981379374e+01   0.00000000000000000e+00
5.80831293586415530e-09   -1.02428170700519825e+01   0.00000000000000000e+00
