t              pw-in-box.fdtd_after_Ex_3_3_5.dat       incid
3.66678641574448009e-09   -7.36036910087228713e-01   4.42407907298910396e-35
3.68219308135685181e-09   -7.36038705453718523e-01   1.01485493296342426e-35
3.69759974696922353e-09   -7.36043623928903989e-01   2.29654225240391192e-36
3.71300641258159524e-09   -7.36048666239287996e-01   5.12716471893019089e-37
3.72841307819396696e-09   -7.36050625387895119e-01   1.12919971011731717e-37
3.74381974380633868e-09   -7.36048122695749374e-01   2.45331214885816082e-38
3.75922640941871039e-09   -7.36042565731401366e-01   5.25858367757942838e-39
3.77463307503108211e-09   -7.36037369430895372e-01   1.11192291175065807e-39
3.79003974064345382e-09   -7.36035862329206370e-01   2.31936066548139241e-40
3.80544640625582554e-09   -7.36039158440022989e-01   4.77306597578045748e-41
3.82085307186819808e-09   -7.36045352891754767e-01   9.68982047041677600e-42
3.83625973748056980e-09   -7.36050611883380168e-01   1.94053229339044247e-42
3.85166640309294152e-09   -7.36051540863279397e-01   3.83409805303440777e-43
3.86707306870531323e-09   -7.36047371113178084e-01   7.47298159142256765e-44
3.88247973431768495e-09   -7.36040559070961220e-01   1.43684714720192296e-44
3.89788639993005667e-09   -7.36035348767603015e-01   2.72562511678977127e-45
3.91329306554242838e-09   -7.36035132141136139e-01   5.10045857310528151e-46
3.92869973115480010e-09   -7.36040246146346333e-01   9.41536963179686702e-47
3.94410639676717182e-09   -7.36047634077211743e-01   1.71477111541938681e-47
3.95951306237954353e-09   -7.36052664092115005e-01   3.08078695611937562e-48
3.97491972799191525e-09   -7.36052028805558756e-01   5.46010868356524102e-49
3.99032639360428697e-09   -7.36045913585973488e-01   9.54736059148980685e-50
4.00573305921665868e-09   -7.36038015929962874e-01   1.64683936474423610e-50
4.02113972482903040e-09   -7.36033317485890737e-01   2.80222052158546735e-51
4.03654639044140211e-09   -7.36034946072015361e-01   4.70432829065029029e-52
4.05195305605377383e-09   -7.36042101535172577e-01   7.79072621433926543e-53
4.06735972166614555e-09   -7.36050416025176069e-01   1.27274218716717424e-53
4.08276638727851809e-09   -7.36054613239490063e-01   2.05139383680972160e-54
4.09817305289088981e-09   -7.36051852292075925e-01   3.26168319218315436e-55
4.11357971850326152e-09   -7.36043639861342691e-01   5.11582498988623839e-56
4.12898638411563324e-09   -7.36035029888710057e-01   7.91657992900515143e-57
4.14439304972800496e-09   -7.36031519795226963e-01   1.20848910437651836e-57
4.15979971534037667e-09   -7.36035545087055709e-01   1.81981829618667519e-58
4.17520638095274839e-09   -7.36044804568349642e-01   2.70372978223035861e-59
4.19061304656512011e-09   -7.36053559155806614e-01   3.96260545495954479e-60
4.20601971217749182e-09   -7.36056183039088596e-01   5.72898234383910723e-61
4.22142637778986354e-09   -7.36050773776237066e-01   8.17195748135434314e-62
4.23683304340223526e-09   -7.36040507939991095e-01   1.14988936471097741e-62
4.25223970901460697e-09   -7.36031789364111955e-01   1.59611452314623923e-63
4.26764637462697869e-09   -7.36030260030349659e-01   2.18587861446235837e-64
4.28305304023935041e-09   -7.36037154839786600e-01   2.95303375803212009e-65
4.29845970585172212e-09   -7.36048351790758448e-01   3.93538950875488586e-66
4.31386637146409384e-09   -7.36056824668783749e-01   5.17443711634835439e-67
4.32927303707646555e-09   -7.36057046721994235e-01   6.71147375893839951e-68
4.34467970268883810e-09   -7.36048588815647054e-01   8.58713926891954835e-69
4.36008636830120981e-09   -7.36036573746314482e-01   1.08402005038192165e-69
4.37549303391358153e-09   -7.36028583562832739e-01   1.34990905830670373e-70
4.39089969952595325e-09   -7.36029880182522911e-01   1.65823622459303519e-71
4.40630636513832496e-09   -7.36039948621773021e-01   2.00978058368522196e-72
4.42171303075069668e-09   -7.36052628587029134e-01   2.40285883363432479e-73
4.43711969636306840e-09   -7.36059874655974111e-01   2.83387962435657498e-74
4.45252636197544011e-09   -7.36056855838921886e-01   3.29759341161631300e-75
4.46793302758781183e-09   -7.36045165559135239e-01   3.78520262680862252e-76
4.48333969320018355e-09   -7.36032015689873975e-01   4.28601323531185503e-77
4.49874635881255526e-09   -7.36025795495871993e-01   4.78831482212487659e-78
4.51415302442492698e-09   -7.36030724949335857e-01   5.27700054343445366e-79
4.52955969003729870e-09   -7.36044006521215710e-01   5.73670774915772726e-80
4.54496635564967041e-09   -7.36057389092156678e-01   6.15326212286087442e-81
4.56037302126204213e-09   -7.36062286613083816e-01   6.51061891093364848e-82
4.57577968687441384e-09   -7.36055280927449651e-01   6.79530653444072137e-83
4.59118635248678556e-09   -7.36040485681937695e-01   6.99786024232663781e-84
4.60659301809915810e-09   -7.36027149000777592e-01   7.10877129279342843e-85
4.62199968371152982e-09   -7.36023879481121801e-01   7.12348456842144490e-86
4.63740634932390154e-09   -7.36033096037566947e-01   7.04307386060845402e-87
4.65281301493627325e-09   -7.36049275805605197e-01   6.86916485419232366e-88
4.66821968054864497e-09   -7.36062248835974819e-01   6.60865426266152512e-89
4.68362634616101669e-09   -7.36063584151288364e-01   6.27330424151224098e-90
4.69903301177338840e-09   -7.36052061293751669e-01   5.87422350404407859e-91
4.71443967738576012e-09   -7.36034681157772708e-01   5.42588625054519813e-92
4.72984634299813184e-09   -7.36022424985666168e-01   4.94501470380746084e-93
4.74525300861050355e-09   -7.36023322252660206e-01   4.44563829110501300e-94
4.76065967422287527e-09   -7.36037199493313254e-01   3.94244321348371868e-95
4.77606633983524699e-09   -7.36055538595590808e-01   3.44965730461750561e-96
4.79147300544761870e-09   -7.36066694549425748e-01   2.97752154451094748e-97
4.80687967105999042e-09   -7.36063283742661834e-01   2.53511296834528063e-98
4.82228633667236213e-09   -7.36047059139857129e-01   2.12971480164557700e-99
4.83769300228473385e-09   -7.36028060514370086e-01   1.76487044802783918e-100
4.85309966789710557e-09   -7.36018411403389194e-01   1.44266765872679329e-101
4.86850633350947811e-09   -7.36024588991969542e-01   1.16360096927310447e-102
4.88391299912184983e-09   -7.36043091755609225e-01   9.25780182574463613e-104
4.89931966473422154e-09   -7.36062393274040216e-01   7.26561504563047854e-105
4.91472633034659326e-09   -7.36070114108628770e-01   5.62631222064943792e-106
4.93013299595896498e-09   -7.36060954965350844e-01   4.29773921523759272e-107
4.94553966157133669e-09   -7.36040311519797874e-01   3.23828882029217426e-108
4.96094632718370841e-09   -7.36021118254906015e-01   2.40757992043830654e-109
4.97635299279608013e-09   -7.36015751996065615e-01   1.76566931149053600e-110
4.99175965840845184e-09   -7.36028058067229707e-01   1.27730874593481244e-111
5.00716632402082356e-09   -7.36050631625325247e-01   9.11747803593126343e-113
5.02257298963319528e-09   -7.36069255589452354e-01   6.41971589410002507e-114
5.03797965524556699e-09   -7.36071847401313262e-01   4.45875182363781015e-115
5.05338632085793871e-09   -7.36056289217775217e-01   3.05566590454683969e-116
5.06879298647031043e-09   -7.36032072439395724e-01   2.06566256470035977e-117
5.08419965208268214e-09   -7.36014522084600276e-01   1.37742456149519272e-118
5.09960631769505386e-09   -7.36015105712537587e-01   9.06304508036764071e-120
5.11501298330742557e-09   -7.36033950704496287e-01   5.88220396690407775e-121
5.13041964891979812e-09   -7.36059446113196514e-01   3.76581910519253342e-122
5.14582631453216983e-09   -7.36075383975683839e-01   2.37891837837168188e-123
5.16123298014454155e-09   -7.36071256148605690e-01   1.48237441528963739e-124
5.17663964575691327e-09   -7.36049169582300489e-01   9.11146465413184488e-126
5.19204631136928498e-09   -7.36022837100525629e-01   5.52614240358873117e-127
5.20745297698165670e-09   -7.36009074491671744e-01   3.30607629923682558e-128
5.22285964259402842e-09   -7.36017069090016740e-01   1.95098550982042091e-129
5.23826630820640013e-09   -7.36042263862860535e-01   1.13606121167098195e-130
5.25367297381877185e-09   -7.36068917936045675e-01   6.52536732647204274e-132
5.26907963943114357e-09   -7.36079931251669040e-01   3.69706428064540324e-133
5.28448630504351528e-09   -7.36067807693506326e-01   2.06689550782411089e-134
5.29989297065588700e-09   -7.36039732801073487e-01   1.13981452297768186e-135
5.31529963626825872e-09   -7.36013341030914314e-01   6.20007678807412785e-137
5.33070630188063043e-09   -7.36005647997127532e-01   3.32791664596794266e-138
5.34611296749300215e-09   -7.36022088280524955e-01   1.76197823257557976e-139
5.36151963310537386e-09   -7.36052715887477116e-01   9.20183080553765827e-141
5.37692629871774558e-09   -7.36078201123584130e-01   4.74202116481684851e-142
5.39233296433011812e-09   -7.36082021750873672e-01   2.41048271629815853e-143
5.40773962994248984e-09   -7.36061164848533900e-01   1.20861652438685657e-144
5.42314629555486156e-09   -7.36028413519209557e-01   5.97986893474317877e-146
5.43855296116723327e-09   -7.36004528717478457e-01   2.91839878089050217e-147
5.45395962677960499e-09   -7.36005096775731449e-01   1.40488223410116725e-148
5.46936629239197671e-09   -7.36030369919978833e-01   6.67355081945272203e-150
5.48477295800434842e-09   -7.36064714759492089e-01   3.12696038320949288e-151
5.50017962361672014e-09   -7.36086268765833385e-01   1.44520156138005977e-152
5.51558628922909186e-09   -7.36080849358009659e-01   6.59112287387826414e-154
5.53099295484146357e-09   -7.36051271498270876e-01   2.96508571973932093e-155
5.54639962045383529e-09   -7.36015961322333268e-01   1.31569138937790858e-156
5.56180628606620701e-09   -7.35997489314595188e-01   5.76101456595275357e-158
5.57721295167857872e-09   -7.36008151004906241e-01   2.48822275714609344e-159
