t              shieldingEffectiveness.fdtd_front_Ex_1_1_1.dat       incid
   0.50456829599893060E-009   0.679280981E-002   0.383411676E+000
   0.50841996238060183E-009   0.720055541E-002   0.399022877E+000
   0.51227162876227306E-009   0.762733119E-002   0.414917171E+000
   0.51612329514394428E-009   0.807352550E-002   0.431079119E+000
   0.51997496152561551E-009   0.853951741E-002   0.447490394E+000
   0.52382662790728673E-009   0.902584568E-002   0.464132905E+000
   0.52767829428895796E-009   0.953307375E-002   0.480985761E+000
   0.53152996067062919E-009   0.100616170E-001   0.498027921E+000
   0.53538162705230041E-009   0.106118061E-001   0.515236497E+000
   0.53923329343397164E-009   0.111840228E-001   0.532587349E+000
   0.54308495981564286E-009   0.117787076E-001   0.550056159E+000
   0.54693662619731409E-009   0.123962704E-001   0.567615509E+000
   0.55078829257898532E-009   0.130370045E-001   0.585239172E+000
   0.55463995896065654E-009   0.137011576E-001   0.602897823E+000
   0.55849162534232777E-009   0.143890064E-001   0.620562971E+000
   0.56234329172399899E-009   0.151008349E-001   0.638203681E+000
   0.56619495810567022E-009   0.158368479E-001   0.655789375E+000
   0.57004662448734145E-009   0.165971871E-001   0.673287928E+000
   0.57389829086901267E-009   0.173819717E-001   0.690667152E+000
   0.57774995725068390E-009   0.181913488E-001   0.707894266E+000
   0.58160162363235512E-009   0.190254077E-001   0.724935293E+000
   0.58545329001402635E-009   0.198840983E-001   0.741757452E+000
   0.58930495639569758E-009   0.207673125E-001   0.758325875E+000
   0.59315662277736880E-009   0.216750372E-001   0.774607122E+000
   0.59700828915904003E-009   0.226073135E-001   0.790566802E+000
   0.60085995554071125E-009   0.235639717E-001   0.806170940E+000
   0.60471162192238248E-009   0.245445836E-001   0.821385801E+000
   0.60856328830405371E-009   0.255488418E-001   0.836178124E+000
   0.61241495468572493E-009   0.265766997E-001   0.850514829E+000
   0.61626662106739616E-009   0.276279543E-001   0.864363372E+000
   0.62011828744906738E-009   0.287019424E-001   0.877692878E+000
   0.62396995383073861E-009   0.297979992E-001   0.890471697E+000
   0.62782162021240984E-009   0.309158918E-001   0.902670562E+000
   0.63167328659408106E-009   0.320553705E-001   0.914260447E+000
   0.63552495297575229E-009   0.332156308E-001   0.925213754E+000
   0.63937661935742351E-009   0.343957469E-001   0.935504079E+000
   0.64322828573909474E-009   0.355951749E-001   0.945106745E+000
   0.64707995212076597E-009   0.368134379E-001   0.953997970E+000
   0.65093161850243719E-009   0.380496979E-001   0.962156355E+000
   0.65478328488410842E-009   0.393030383E-001   0.969561458E+000
   0.65863495126577964E-009   0.405726805E-001   0.976194859E+000
   0.66248661764745087E-009   0.418577306E-001   0.982039988E+000
   0.66633828402912210E-009   0.431570783E-001   0.987082422E+000
   0.67018995041079332E-009   0.444698930E-001   0.991309166E+000
   0.67404161679246455E-009   0.457955003E-001   0.994709551E+000
   0.67789328317413577E-009   0.471327305E-001   0.997275293E+000
   0.68174494955580700E-009   0.484800749E-001   0.998999476E+000
   0.68559661593747823E-009   0.498365350E-001   0.999877930E+000
   0.68944828231914945E-009   0.512015745E-001   0.999908507E+000
   0.69329994870082068E-009   0.525741130E-001   0.999090910E+000
   0.69715161508249190E-009   0.539524443E-001   0.997427225E+000
   0.70100328146416313E-009   0.553352535E-001   0.994922042E+000
   0.70485494784583436E-009   0.567218289E-001   0.991581202E+000
   0.70870661422750558E-009   0.581112318E-001   0.987413526E+000
   0.71255828060917681E-009   0.595019720E-001   0.982429504E+000
   0.71640994699084803E-009   0.608926266E-001   0.976641595E+000
   0.72026161337251926E-009   0.622822046E-001   0.970064104E+000
   0.72411327975419049E-009   0.636697337E-001   0.962714076E+000
   0.72796494613586171E-009   0.650539100E-001   0.954609215E+000
   0.73181661251753294E-009   0.664332956E-001   0.945769727E+000
   0.73566827889920416E-009   0.678068027E-001   0.936217606E+000
   0.73951994528087539E-009   0.691736341E-001   0.925975740E+000
   0.74337161166254662E-009   0.705328062E-001   0.915069401E+000
   0.74722327804421784E-009   0.718827471E-001   0.903524339E+000
   0.75107494442588907E-009   0.732220262E-001   0.891368508E+000
   0.75492661080756029E-009   0.745499805E-001   0.878630042E+000
   0.75877827718923152E-009   0.758661255E-001   0.865339458E+000
   0.76262994357090275E-009   0.771692693E-001   0.851526856E+000
   0.76648160995257397E-009   0.784578994E-001   0.837224126E+000
   0.77033327633424520E-009   0.797310024E-001   0.822463632E+000
   0.77418494271591642E-009   0.809880793E-001   0.807277918E+000
   0.77803660909758765E-009   0.822284594E-001   0.791700661E+000
   0.78188827547925888E-009   0.834511891E-001   0.775765538E+000
   0.78573994186093010E-009   0.846554264E-001   0.759506524E+000
   0.78959160824260133E-009   0.858404338E-001   0.742957234E+000
   0.79344327462427255E-009   0.870052949E-001   0.726152480E+000
   0.79729494100594378E-009   0.881492868E-001   0.709125698E+000
   0.80114660738761501E-009   0.892723575E-001   0.691910982E+000
   0.80499827376928623E-009   0.903743580E-001   0.674541533E+000
   0.80884994015095746E-009   0.914541185E-001   0.657050610E+000
   0.81270160653262868E-009   0.925102830E-001   0.639469981E+000
   0.81655327291429991E-009   0.935430378E-001   0.621832192E+000
   0.82040493929597114E-009   0.945533141E-001   0.604167938E+000
   0.82425660567764236E-009   0.955406278E-001   0.586507678E+000
   0.82810827205931359E-009   0.965032130E-001   0.568881035E+000
   0.83195993844098481E-009   0.974404439E-001   0.551315546E+000
   0.83581160482265604E-009   0.983536243E-001   0.533839881E+000
   0.83966327120432727E-009   0.992435887E-001   0.516479254E+000
   0.84351493758599849E-009   0.100109048E+000   0.499259770E+000
   0.84736660396766972E-009   0.100948654E+000   0.482204735E+000
   0.85121827034934094E-009   0.101763204E+000   0.465337485E+000
   0.85506993673101217E-009   0.102554239E+000   0.448679328E+000
   0.85892160311268340E-009   0.103321321E+000   0.432250708E+000
   0.86277326949435462E-009   0.104063176E+000   0.416070402E+000
   0.86662493587602585E-009   0.104780339E+000   0.400156021E+000
   0.87047660225769707E-009   0.105474353E+000   0.384524286E+000
   0.87432826863936830E-009   0.106145054E+000   0.369189352E+000
   0.87817993502103953E-009   0.106791206E+000   0.354165673E+000
   0.88203160140271075E-009   0.107413530E+000   0.339464933E+000
   0.88588326778438198E-009   0.108014308E+000   0.325098574E+000
   0.88973493416605320E-009   0.108593568E+000   0.311076075E+000
   0.89358660054772443E-009   0.109149158E+000   0.297406107E+000
   0.89743826692939566E-009   0.109681338E+000   0.284095615E+000
   0.90128993331106688E-009   0.110193588E+000   0.271150619E+000
   0.90514159969273811E-009   0.110687286E+000   0.258576274E+000
   0.90899326607440933E-009   0.111159496E+000   0.246375516E+000
   0.91284493245608056E-009   0.111608654E+000   0.234551653E+000
   0.91669659883775179E-009   0.112038434E+000   0.223105609E+000
   0.92054826521942301E-009   0.112452708E+000   0.212038219E+000
   0.92439993160109424E-009   0.112849578E+000   0.201349229E+000
   0.92825159798276546E-009   0.113225117E+000   0.191036418E+000
   0.93210326436443669E-009   0.113580883E+000   0.181098282E+000
   0.93595493074610792E-009   0.113921985E+000   0.171531558E+000
   0.93980659712777914E-009   0.114249513E+000   0.162332475E+000
   0.94365826350945037E-009   0.114560299E+000   0.153496355E+000
   0.94750992989112159E-009   0.114853159E+000   0.145018116E+000
   0.95136159627279282E-009   0.115130849E+000   0.136892274E+000
   0.95521326265446405E-009   0.115395881E+000   0.129111648E+000
   0.95906492903613527E-009   0.115647815E+000   0.121670172E+000
   0.96291659541780650E-009   0.115885638E+000   0.114560418E+000
   0.96676826179947772E-009   0.116110124E+000   0.107774571E+000
   0.97061992818114895E-009   0.116322808E+000   0.101304688E+000
   0.97447159456282018E-009   0.116524272E+000   0.951424986E-001
   0.97832326094449140E-009   0.116714172E+000   0.892793015E-001
   0.98217492732616263E-009   0.116892427E+000   0.837063715E-001
   0.98602659370783385E-009   0.117060110E+000   0.784148052E-001
   0.98987826008950508E-009   0.117219023E+000   0.733953938E-001
   0.99372992647117631E-009   0.117369860E+000   0.686391592E-001
   0.99758159285284753E-009   0.117511131E+000   0.641364902E-001
   0.10014332592345188E-008   0.117641568E+000   0.598784275E-001
   0.10052849256161900E-008   0.117763244E+000   0.558556579E-001
   0.10091365919978612E-008   0.117879689E+000   0.520590022E-001
   0.10129882583795324E-008   0.117990911E+000   0.484792143E-001
   0.10168399247612037E-008   0.118093506E+000   0.451073050E-001
   0.10206915911428749E-008   0.118186608E+000   0.419343673E-001
   0.10245432575245461E-008   0.118273914E+000   0.389515087E-001
   0.10283949239062173E-008   0.118358195E+000   0.361501537E-001
   0.10322465902878886E-008   0.118437499E+000   0.335218422E-001
   0.10360982566695598E-008   0.118509248E+000   0.310582221E-001
   0.10399499230512310E-008   0.118575014E+000   0.287512653E-001
   0.10438015894329022E-008   0.118637830E+000   0.265931170E-001
   0.10476532558145735E-008   0.118697464E+000   0.245760735E-001
   0.10515049221962447E-008   0.118751876E+000   0.226928163E-001
   0.10553565885779159E-008   0.118801177E+000   0.209360234E-001
   0.10592082549595871E-008   0.118847370E+000   0.192988720E-001
   0.10630599213412584E-008   0.118891202E+000   0.177746620E-001
   0.10669115877229296E-008   0.118931949E+000   0.163569655E-001
   0.10707632541046008E-008   0.118969329E+000   0.150395539E-001
   0.10746149204862721E-008   0.119003572E+000   0.138165271E-001
   0.10784665868679433E-008   0.119034842E+000   0.126822377E-001
   0.10823182532496145E-008   0.119063735E+000   0.116311200E-001
   0.10861699196312857E-008   0.119091243E+000   0.106581058E-001
   0.10900215860129570E-008   0.119117267E+000   0.975821726E-002
   0.10938732523946282E-008   0.119140670E+000   0.892671570E-002
   0.10977249187762994E-008   0.119161241E+000   0.815914571E-002
   0.11015765851579706E-008   0.119180150E+000   0.745126000E-002
   0.11054282515396419E-008   0.119198374E+000   0.679900637E-002
   0.11092799179213131E-008   0.119215608E+000   0.619859062E-002
   0.11131315843029843E-008   0.119231366E+000   0.564641133E-002
   0.11169832506846555E-008   0.119245403E+000   0.513904868E-002
   0.11208349170663268E-008   0.119257741E+000   0.467332499E-002
   0.11246865834479980E-008   0.119269095E+000   0.424618460E-002
   0.11285382498296692E-008   0.119280592E+000   0.385481562E-002
   0.11323899162113404E-008   0.119291738E+000   0.349655352E-002
   0.11362415825930117E-008   0.119300626E+000   0.316890213E-002
   0.11400932489746829E-008   0.119307406E+000   0.286951195E-002
   0.11439449153563541E-008   0.119314983E+000   0.259620580E-002
   0.11477965817380253E-008   0.119324334E+000   0.234694197E-002
   0.11516482481196966E-008   0.119332075E+000   0.211980566E-002
   0.11554999145013678E-008   0.119335935E+000   0.191302958E-002
   0.11593515808830390E-008   0.119339168E+000   0.172496156E-002
   0.11632032472647102E-008   0.119345628E+000   0.155405945E-002
   0.11670549136463815E-008   0.119353354E+000   0.139890355E-002
   0.11709065800280527E-008   0.119357809E+000   0.125817221E-002
   0.11747582464097239E-008   0.119359039E+000   0.113063597E-002
   0.11786099127913952E-008   0.119361132E+000   0.101517013E-002
   0.11824615791730664E-008   0.119365908E+000   0.910718809E-003
   0.11863132455547376E-008   0.119371302E+000   0.816321990E-003
   0.11901649119364088E-008   0.119374707E+000   0.731089734E-003
   0.11940165783180801E-008   0.119375780E+000   0.654202362E-003
   0.11978682446997513E-008   0.119376339E+000   0.584902882E-003
   0.12017199110814225E-008   0.119378760E+000   0.522501476E-003
   0.12055715774630937E-008   0.119383305E+000   0.466363883E-003
   0.12094232438447650E-008   0.119386978E+000   0.415900693E-003
   0.12132749102264362E-008   0.119387269E+000   0.370585069E-003
   0.12171265766081074E-008   0.119386494E+000   0.329927425E-003
   0.12209782429897786E-008   0.119388632E+000   0.293480378E-003
   0.12248299093714499E-008   0.119392850E+000   0.260838598E-003
   0.12286815757531211E-008   0.119394951E+000   0.231631129E-003
   0.12325332421347923E-008   0.119394526E+000   0.205519755E-003
   0.12363849085164635E-008   0.119395114E+000   0.182196236E-003
   0.12402365748981348E-008   0.119397566E+000   0.161383461E-003
   0.12440882412798060E-008   0.119399235E+000   0.142826451E-003
   0.12479399076614772E-008   0.119399682E+000   0.126296713E-003
   0.12517915740431484E-008   0.119401209E+000   0.111584704E-003
   0.12556432404248197E-008   0.119403481E+000   0.985028455E-004
   0.12594949068064909E-008   0.119403817E+000   0.868810675E-004
   0.12633465731881621E-008   0.119403057E+000   0.765656296E-004
   0.12671982395698334E-008   0.119404726E+000   0.674174808E-004
   0.12710499059515046E-008   0.119408190E+000   0.593121113E-004
   0.12749015723331758E-008   0.119409211E+000   0.521372713E-004
   0.12787532387148470E-008   0.119407773E+000   0.457909628E-004
   0.12826049050965183E-008   0.119408257E+000   0.401832622E-004
   0.12864565714781895E-008   0.119411416E+000   0.352324678E-004
   0.12903082378598607E-008   0.119413085E+000   0.308653071E-004
   0.12941599042415319E-008   0.119412087E+000   0.270165929E-004
   0.12980115706232032E-008   0.119412228E+000   0.236277829E-004
   0.13018632370048744E-008   0.119415075E+000   0.206464338E-004
   0.13057149033865456E-008   0.119417079E+000   0.180260067E-004
   0.13095665697682168E-008   0.119416259E+000   0.157248487E-004
   0.13134182361498881E-008   0.119415559E+000   0.137057568E-004
   0.13172699025315593E-008   0.119417593E+000   0.119358619E-004
   0.13211215689132305E-008   0.119420528E+000   0.103856473E-004
   0.13249732352949017E-008   0.119421378E+000   0.902910233E-005
   0.13288249016765730E-008   0.119420454E+000   0.784310669E-005
   0.13326765680582442E-008   0.119420350E+000   0.680716039E-005
   0.13365282344399154E-008   0.119422309E+000   0.590295849E-005
   0.13403799008215866E-008   0.119424783E+000   0.511455437E-005
   0.13442315672032579E-008   0.119425550E+000   0.442770261E-005
   0.13480832335849291E-008   0.119424775E+000   0.382982034E-005
   0.13519348999666003E-008   0.119425178E+000   0.330987064E-005
   0.13557865663482715E-008   0.119427711E+000   0.285809210E-005
   0.13596382327299428E-008   0.119429506E+000   0.246588343E-005
   0.13634898991116140E-008   0.119428709E+000   0.212567966E-005
   0.13673415654932852E-008   0.119428195E+000   0.183087025E-005
   0.13711932318749565E-008   0.119430758E+000   0.157560214E-005
   0.13750448982566277E-008   0.119433701E+000   0.135478410E-005
   0.13788965646382989E-008   0.119433418E+000   0.116391823E-005
   0.13827482310199701E-008   0.119431838E+000   0.999093118E-006
   0.13865998974016414E-008   0.119433083E+000   0.856884128E-006
   0.13904515637833126E-008   0.119436361E+000   0.734295725E-006
   0.13943032301649838E-008   0.119437702E+000   0.628707937E-006
   0.13981548965466550E-008   0.119436868E+000   0.537848109E-006
   0.14020065629283263E-008   0.119436979E+000   0.459732320E-006
   0.14058582293099975E-008   0.119438879E+000   0.392622752E-006
   0.14097098956916687E-008   0.119440503E+000   0.335027693E-006
   0.14135615620733399E-008   0.119440921E+000   0.285639800E-006
   0.14174132284550112E-008   0.119441360E+000   0.243324365E-006
   0.14212648948366824E-008   0.119442470E+000   0.207102502E-006
   0.14251165612183536E-008   0.119443536E+000   0.176123748E-006
   0.14289682276000248E-008   0.119444542E+000   0.149650887E-006
   0.14328198939816961E-008   0.119445644E+000   0.127049688E-006
   0.14366715603633673E-008   0.119446278E+000   0.107770703E-006
   0.14405232267450385E-008   0.119446613E+000   0.913390608E-007
   0.14443748931267097E-008   0.119447768E+000   0.773477140E-007
   0.14482265595083810E-008   0.119449638E+000   0.654435794E-007
   0.14520782258900522E-008   0.119450629E+000   0.553244845E-007
   0.14559298922717234E-008   0.119450554E+000   0.467305341E-007
   0.14597815586533947E-008   0.119451076E+000   0.394381914E-007
   0.14636332250350659E-008   0.119452707E+000   0.332553682E-007
   0.14674848914167371E-008   0.119453952E+000   0.280181638E-007
   0.14713365577984083E-008   0.119454443E+000   0.235857929E-007
   0.14751882241800796E-008   0.119455531E+000   0.198376284E-007
   0.14790398905617508E-008   0.119457066E+000   0.166710201E-007
   0.14828915569434220E-008   0.119457431E+000   0.139980507E-007
   0.14867432233250932E-008   0.119457081E+000   0.117436008E-007
   0.14905948897067645E-008   0.119458377E+000   0.984392301E-008
   0.14944465560884357E-008   0.119461119E+000   0.824457391E-008
   0.14982982224701069E-008   0.119462349E+000   0.689916302E-008
   0.15021498888517781E-008   0.119461581E+000   0.576846304E-008
   0.15060015552334494E-008   0.119461648E+000   0.481894968E-008
   0.15098532216151206E-008   0.119463690E+000   0.402230604E-008
   0.15137048879967918E-008   0.119465508E+000   0.335452532E-008
   0.15175565543784630E-008   0.119465798E+000   0.279524692E-008
   0.15214082207601343E-008   0.119466208E+000   0.232721931E-008
   0.15252598871418055E-008   0.119467795E+000   0.193592209E-008
   0.15291115535234767E-008   0.119469225E+000   0.160906599E-008
   0.15329632199051479E-008   0.119469352E+000   0.133623590E-008
   0.15368148862868192E-008   0.119469345E+000   0.110873621E-008
   0.15406665526684904E-008   0.119470768E+000   0.919192444E-009
   0.15445182190501616E-008   0.119473085E+000   0.761399443E-009
   0.15483698854318328E-008   0.119474508E+000   0.630161923E-009
   0.15522215518135041E-008   0.119474374E+000   0.521104659E-009
   0.15560732181951753E-008   0.119473934E+000   0.430551900E-009
   0.15599248845768465E-008   0.119474888E+000   0.355434543E-009
   0.15637765509585178E-008   0.119477309E+000   0.293175040E-009
   0.15676282173401890E-008   0.119479343E+000   0.241613951E-009
   0.15714798837218602E-008   0.119479626E+000   0.198954214E-009
   0.15753315501035314E-008   0.119479202E+000   0.163686412E-009
   0.15791832164852027E-008   0.119479880E+000   0.134555714E-009
   0.15830348828668739E-008   0.119481549E+000   0.110516041E-009
   0.15868865492485451E-008   0.119482890E+000   0.906946879E-010
   0.15907382156302163E-008   0.119483970E+000   0.743645215E-010
   0.15945898820118876E-008   0.119485371E+000   0.609233150E-010
   0.15984415483935588E-008   0.119486205E+000   0.498694558E-010
   0.16022932147752300E-008   0.119485825E+000   0.407861835E-010
   0.16061448811569012E-008   0.119485989E+000   0.333292317E-010
   0.16099965475385725E-008   0.119488321E+000   0.272126592E-010
   0.16138482139202437E-008   0.119491108E+000   0.221995339E-010
   0.16176998803019149E-008   0.119491518E+000   0.180946699E-010
   0.16215515466835861E-008   0.119490325E+000   0.147363823E-010
   0.16254032130652574E-008   0.119490892E+000   0.119910783E-010
   0.16292548794469286E-008   0.119493596E+000   0.974904619E-011
   0.16331065458285998E-008   0.119495377E+000   0.791943854E-011
   0.16369582122102710E-008   0.119495191E+000   0.642770863E-011
   0.16408098785919423E-008   0.119495407E+000   0.521257169E-011
   0.16446615449736135E-008   0.119497262E+000   0.422358676E-011
   0.16485132113552847E-008   0.119498886E+000   0.341930390E-011
   0.16523648777369560E-008   0.119499013E+000   0.276584658E-011
   0.16562165441186272E-008   0.119499192E+000   0.223539741E-011
   0.16600682105002984E-008   0.119500771E+000   0.180510641E-011
   0.16639198768819696E-008   0.119502567E+000   0.145642363E-011
   0.16677715432636409E-008   0.119503327E+000   0.117410313E-011
   0.16716232096453121E-008   0.119503729E+000   0.945695779E-012
   0.16754748760269833E-008   0.119504571E+000   0.761081085E-012
   0.16793265424086545E-008   0.119505592E+000   0.611989571E-012
   0.16831782087903258E-008   0.119506665E+000   0.491681294E-012
   0.16870298751719970E-008   0.119507968E+000   0.394691414E-012
   0.16908815415536682E-008   0.119509131E+000   0.316566787E-012
   0.16947332079353394E-008   0.119509727E+000   0.253687750E-012
   0.16985848743170107E-008   0.119510293E+000   0.203128462E-012
   0.17024365406986819E-008   0.119511411E+000   0.162506334E-012
   0.17062882070803531E-008   0.119512640E+000   0.129896921E-012
   0.17101398734620243E-008   0.119513601E+000   0.103743742E-012
   0.17139915398436956E-008   0.119514674E+000   0.827863575E-013
   0.17178432062253668E-008   0.119515851E+000   0.660057539E-013
