t              twoWires.fdtd_Bulk probe_Jx_15_11_13__15_13_17.dat
   0.63602000283189547E-009   0.443735127E-019
   0.63756000283875236E-009   0.523799974E-019
   0.63910000284560925E-009   0.618069095E-019
   0.64064000285246614E-009   0.729018572E-019
   0.64218000285932303E-009   0.859548255E-019
   0.64372000286617992E-009   0.101305320E-018
   0.64526000287303681E-009   0.119350556E-018
   0.64680000287989370E-009   0.140555266E-018
   0.64834000288675059E-009   0.165462838E-018
   0.64988000289360748E-009   0.194708300E-018
   0.65142000290046437E-009   0.229033671E-018
   0.65296000290732126E-009   0.269305451E-018
   0.65450000291417815E-009   0.316535085E-018
   0.65604000292103504E-009   0.371903221E-018
   0.65758000292789193E-009   0.436786570E-018
   0.65912000293474882E-009   0.512790665E-018
   0.66066000294160571E-009   0.601786407E-018
   0.66220000294846260E-009   0.705954037E-018
   0.66374000295531949E-009   0.827832121E-018
   0.66528000296217638E-009   0.970375916E-018
   0.66682000296903327E-009   0.113702427E-017
   0.66836000297589016E-009   0.133177764E-017
   0.66990000298274704E-009   0.155928664E-017
   0.67144000298960393E-009   0.182495689E-017
   0.67298000299646082E-009   0.213506855E-017
   0.67452000300331771E-009   0.249691458E-017
   0.67606000301017460E-009   0.291896198E-017
   0.67760000301703149E-009   0.341103373E-017
   0.67914000302388838E-009   0.398452570E-017
   0.68068000303074527E-009   0.465265148E-017
   0.68222000303760216E-009   0.543072279E-017
   0.68376000304445905E-009   0.633648142E-017
   0.68530000305131594E-009   0.739047331E-017
   0.68684000305817283E-009   0.861648401E-017
   0.68838000306502972E-009   0.100420347E-016
   0.68992000307188661E-009   0.116989593E-016
   0.69146000307874350E-009   0.136240700E-016
   0.69300000308560039E-009   0.158599078E-016
   0.69454000309245728E-009   0.184556270E-016
   0.69608000309931417E-009   0.214679921E-016
   0.69762000310617106E-009   0.249625275E-016
   0.69916000311302795E-009   0.290148588E-016
   0.70070000311988484E-009   0.337122058E-016
   0.70224000312674173E-009   0.391551535E-016
   0.70378000313359862E-009   0.454596197E-016
   0.70532000314045551E-009   0.527591610E-016
   0.70686000314731240E-009   0.612075934E-016
   0.70840000315416929E-009   0.709819963E-016
   0.70994000316102618E-009   0.822861605E-016
   0.71148000316788307E-009   0.953544826E-016
   0.71302000317473996E-009   0.110456518E-015
   0.71456000318159685E-009   0.127902081E-015
   0.71610000318845374E-009   0.148047158E-015
   0.71764000319531063E-009   0.171300555E-015
   0.71918000320216752E-009   0.198131660E-015
   0.72072000320902441E-009   0.229079187E-015
   0.72226000321588130E-009   0.264760979E-015
   0.72380000322273819E-009   0.305885779E-015
   0.72534000322959508E-009   0.353265679E-015
   0.72688000323645197E-009   0.407831409E-015
   0.72842000324330886E-009   0.470649093E-015
   0.72996000325016575E-009   0.542939067E-015
   0.73150000325702264E-009   0.626098167E-015
