time current
9.194999429999999933e-09 -2.403503750000000069e-04
9.224999429999999209e-09 -2.483030260000000156e-04
9.254999430000000139e-09 -2.561813739999999886e-04
9.284999439999999253e-09 -2.639901650000000166e-04
9.314999440000000183e-09 -2.717332099999999963e-04
9.344999439999999459e-09 -2.794129540000000241e-04
9.374999440000000390e-09 -2.870301250000000101e-04
9.404999449999999504e-09 -2.945835290000000089e-04
9.434999450000000434e-09 -3.020698200000000006e-04
9.464999449999999710e-09 -3.094834680000000185e-04
9.494999450000000640e-09 -3.168169059999999954e-04
9.524999459999999754e-09 -3.240606749999999973e-04
9.554999460000000685e-09 -3.312036859999999898e-04
9.584999459999999961e-09 -3.382336000000000001e-04
9.614999459999999237e-09 -3.451373199999999944e-04
9.644999470000000005e-09 -3.519013699999999894e-04
9.674999469999999281e-09 -3.585124210000000108e-04
9.704999470000000211e-09 -3.649577269999999775e-04
9.734999469999999487e-09 -3.712255569999999808e-04
9.764999480000000255e-09 -3.773055510000000007e-04
9.794999479999999531e-09 -3.831889770000000174e-04
9.824999480000000462e-09 -3.888689389999999929e-04
9.854999479999999738e-09 -3.943403430000000072e-04
9.884999490000000506e-09 -3.995999580000000146e-04
9.914999489999999782e-09 -4.046462130000000042e-04
9.944999490000000712e-09 -4.094789330000000245e-04
9.974999489999999988e-09 -4.140990499999999837e-04
1.000499950000000076e-08 -4.185081340000000052e-04
1.003499950000000003e-08 -4.227080210000000167e-04
1.006499949999999931e-08 -4.267003100000000258e-04
1.009499950000000024e-08 -4.304859609999999912e-04
1.012499949999999951e-08 -4.340649169999999781e-04
1.015499950000000045e-08 -4.374357809999999849e-04
1.018499949999999972e-08 -4.405955550000000107e-04
1.021499950000000065e-08 -4.435396110000000081e-04
1.024499949999999993e-08 -4.462616340000000030e-04
1.027499949999999920e-08 -4.487538239999999917e-04
1.030499950000000013e-08 -4.510071589999999748e-04
1.033499949999999941e-08 -4.530117730000000182e-04
1.036499950000000034e-08 -4.547573919999999752e-04
1.039499949999999962e-08 -4.562338869999999868e-04
1.042499950000000055e-08 -4.574319169999999731e-04
1.045499949999999982e-08 -4.583434200000000014e-04
1.048499950000000075e-08 -4.589622549999999987e-04
1.051499950000000003e-08 -4.592845799999999753e-04
1.054499949999999931e-08 -4.593093759999999914e-04
1.057499950000000024e-08 -4.590385940000000034e-04
1.060499949999999951e-08 -4.584774430000000136e-04
1.063499950000000044e-08 -4.576342469999999918e-04
1.066499959999999975e-08 -4.565203850000000064e-04
1.069499960000000068e-08 -4.551499439999999843e-04
1.072499959999999996e-08 -4.535392800000000017e-04
1.075499959999999923e-08 -4.517064370000000036e-04
1.078499960000000016e-08 -4.496705950000000037e-04
1.081499959999999944e-08 -4.474512829999999762e-04
1.084499960000000037e-08 -4.450676500000000043e-04
1.087499959999999965e-08 -4.425377990000000142e-04
1.090499960000000058e-08 -4.398781170000000125e-04
1.093499959999999985e-08 -4.371027169999999848e-04
1.096499960000000078e-08 -4.342229799999999915e-04
1.099499960000000006e-08 -4.312472589999999948e-04
1.102499959999999933e-08 -4.281807919999999898e-04
1.105499960000000026e-08 -4.250257039999999964e-04
1.108499959999999954e-08 -4.217811510000000260e-04
1.111499960000000047e-08 -4.184438439999999936e-04
1.114499959999999975e-08 -4.150083989999999996e-04
1.117499960000000068e-08 -4.114680920000000235e-04
1.120499959999999995e-08 -4.078154740000000146e-04
1.123499959999999923e-08 -4.040430359999999991e-04
1.126499960000000016e-08 -4.001439960000000256e-04
1.129499959999999944e-08 -3.961128820000000043e-04
1.132499960000000037e-08 -3.919461159999999746e-04
1.135499959999999964e-08 -3.876425029999999955e-04
1.138499960000000057e-08 -3.832033840000000210e-04
1.141499959999999985e-08 -3.786328599999999817e-04
1.144499960000000078e-08 -3.739376839999999989e-04
1.147499960000000005e-08 -3.691271409999999972e-04
1.150499959999999933e-08 -3.642125230000000128e-04
1.153499960000000026e-08 -3.592067510000000242e-04
1.156499959999999954e-08 -3.541236800000000179e-04
1.159499960000000047e-08 -3.489775120000000036e-04
1.162499959999999974e-08 -3.437820409999999948e-04
1.165499960000000067e-08 -3.385499880000000100e-04
1.168499959999999995e-08 -3.332923810000000021e-04
1.171499959999999923e-08 -3.280180099999999762e-04
1.174499960000000016e-08 -3.227329289999999735e-04
1.177499959999999943e-08 -3.174403679999999897e-04
1.180499960000000036e-08 -3.121404439999999909e-04
1.183499959999999964e-08 -3.068303339999999815e-04
1.186499960000000057e-08 -3.015044490000000138e-04
1.189499969999999988e-08 -2.961549029999999941e-04
1.192499970000000081e-08 -2.907718879999999736e-04
1.195499970000000008e-08 -2.853444309999999965e-04
1.198499969999999936e-08 -2.798609200000000039e-04
1.201499970000000029e-08 -2.743098590000000157e-04
1.204499969999999957e-08 -2.686805380000000009e-04
1.207499970000000050e-08 -2.629635560000000106e-04
1.210499969999999977e-08 -2.571513760000000205e-04
1.213499970000000070e-08 -2.512386420000000190e-04
1.216499969999999998e-08 -2.452225020000000180e-04
1.219499969999999925e-08 -2.391025629999999887e-04
1.222499970000000018e-08 -2.328809059999999913e-04
1.225499969999999946e-08 -2.265618240000000021e-04
1.228499970000000039e-08 -2.201515159999999983e-04
1.231499969999999967e-08 -2.136576219999999991e-04
1.234499970000000060e-08 -2.070887570000000042e-04
1.237499969999999987e-08 -2.004539559999999883e-04
1.240499970000000080e-08 -1.937621860000000081e-04
1.243499970000000008e-08 -1.870218400000000017e-04
1.246499969999999936e-08 -1.802403710000000038e-04
1.249499970000000029e-08 -1.734239190000000104e-04
1.252499969999999956e-08 -1.665772140000000134e-04
1.255499970000000049e-08 -1.597034279999999962e-04
1.258499969999999977e-08 -1.528042920000000082e-04
1.261499970000000070e-08 -1.458802729999999993e-04
1.264499969999999998e-08 -1.389309039999999924e-04
1.267499969999999925e-08 -1.319551080000000085e-04
1.270499970000000018e-08 -1.249516639999999931e-04
1.273499969999999946e-08 -1.179196480000000065e-04
1.276499970000000039e-08 -1.108589129999999989e-04
1.279499969999999966e-08 -1.037704420000000000e-04
1.282499970000000059e-08 -9.665670950000000174e-05
1.285499969999999987e-08 -8.952188359999999729e-05
1.288499970000000080e-08 -8.237194559999999588e-05
1.291499970000000008e-08 -7.521466610000000200e-05
1.294499969999999935e-08 -6.805943120000000233e-05
1.297499970000000028e-08 -6.091698010000000331e-05
1.300499969999999956e-08 -5.379901269999999845e-05
1.303499970000000049e-08 -4.671770880000000308e-05
1.306499969999999977e-08 -3.968520470000000302e-05
1.309499980000000073e-08 -3.271305829999999679e-05
1.312499980000000000e-08 -2.581169970000000074e-05
1.315499979999999928e-08 -1.898995110000000036e-05
1.318499980000000021e-08 -1.225460889999999920e-05
1.321499979999999949e-08 -5.610143939999999596e-06
1.324499980000000042e-08 9.414916350000000500e-07
1.327499979999999969e-08 7.400912639999999844e-06
1.330499980000000062e-08 1.377121230000000054e-05
1.333499979999999990e-08 2.005774149999999960e-05
1.336499979999999918e-08 2.626776770000000045e-05
1.339499980000000011e-08 3.241001830000000045e-05
1.342499979999999938e-08 3.849415590000000292e-05
1.345499980000000031e-08 4.453021390000000271e-05
1.348499979999999959e-08 5.052797499999999966e-05
1.351499980000000052e-08 5.649639930000000215e-05
1.354499979999999979e-08 6.244306860000000065e-05
1.357499980000000072e-08 6.837372349999999992e-05
1.360499980000000000e-08 7.429187099999999999e-05
1.363499979999999928e-08 8.019851520000000566e-05
1.366499980000000021e-08 8.609199719999999667e-05
1.369499979999999948e-08 9.196796599999999800e-05
1.372499980000000041e-08 9.781948030000000096e-05
1.375499979999999969e-08 1.036372120000000039e-04
1.378499980000000062e-08 1.094097610000000040e-04
1.381499979999999990e-08 1.151240289999999969e-04
1.384499980000000083e-08 1.207656899999999940e-04
1.387499980000000010e-08 1.263196170000000092e-04
1.390499979999999938e-08 1.317704149999999888e-04
1.393499980000000031e-08 1.371028480000000026e-04
1.396499979999999958e-08 1.423023350000000105e-04
1.399499980000000052e-08 1.473552399999999909e-04
1.402499979999999979e-08 1.522492680000000120e-04
1.405499980000000072e-08 1.569736490000000117e-04
1.408499980000000000e-08 1.615193609999999904e-04
1.411499979999999927e-08 1.658791730000000019e-04
1.414499980000000020e-08 1.700476709999999955e-04
1.417499979999999948e-08 1.740212030000000084e-04
1.420499980000000041e-08 1.777978030000000088e-04
1.423499979999999969e-08 1.813769920000000133e-04
1.426499980000000062e-08 1.847596290000000049e-04
1.429499989999999992e-08 1.879477059999999926e-04
1.432499989999999920e-08 1.909441050000000074e-04
1.435499990000000013e-08 1.937524209999999959e-04
1.438499989999999941e-08 1.963767139999999980e-04
1.441499990000000034e-08 1.988213769999999973e-04
1.444499989999999961e-08 2.010909520000000051e-04
1.447499990000000054e-08 2.031899930000000121e-04
1.450499989999999982e-08 2.051229680000000001e-04
1.453499990000000075e-08 2.068941830000000021e-04
